url	dates	Title	Sentiment	category
https://www.automobil-industrie.vogel.de/elektro-anteil-verdoppelt-sich-a-ceb8590aafa6ad12600bdf6c1adf430e/	2022-08-01	Transporter-Neuzulassungen Elektro-Anteil verdoppelt sich	positive	emobility
https://www.automobil-industrie.vogel.de/webasto-sucht-partner-fuer-ladesaeulen-geschaeft-a-ea2a0aab187033dc47bb5d2bb3bf9465/	2022-08-01	E-Mobilität Webasto sucht Partner für Ladesäulen-Geschäft	negativ	emobility
https://www.automobil-industrie.vogel.de/erste-lkw-schnelllade-saeulen-eroeffnet-a-23bc97d64f31cfcd4faae292d81dc657/	2022-08-01	E-Mobilität Erste Lkw-Schnelllade-Säulen eröffnet	positive	emobility
https://www.automobil-industrie.vogel.de/im-tesla-lenkt-die-fahrzeug-bedienung-am-staerksten-ab-a-45bf6d7d152d3513a80f44a91b4a4be3/	2022-08-01	ADAC-Test Im Tesla lenkt die Fahrzeug-Bedienung am stärksten ab	negativ	emobility
https://www.automobil-industrie.vogel.de/byd-will-ab-oktober-in-deutschland-verkaufen-a-af171eb012591ee30951755bb7718083/	2022-08-02	Chinesische Autohersteller BYD will ab Oktober in Deutschland verkaufen	neutral	emobility
https://www.automobil-industrie.vogel.de/engpaesse-bremsen-e-auto-absatz-a-0f028eaf7bb15328a29aa1c292e63dbe/	2022-08-03	Studie Engpässe bremsen E-Auto-Absatz	negativ	emobility
https://www.automobil-industrie.vogel.de/bmw-einkaufschef-joachim-post-der-hebel-in-der-lieferkette-ist-gewaltig-a-9e92e30e787ccd584562385cbeed4953/	2022-08-03	Nachhaltige Mobilität BMW-Einkaufschef Joachim Post: „Der Hebel in der Lieferkette ist gewaltig“	neutral	emobility
https://www.automobil-industrie.vogel.de/continental-entwickelt-laderaum-app-fuer-lkw-a-20f57b0eecf13866f012b4cbd03b7e0c/	2022-08-04	Logistik Continental entwickelt Laderaum-App für Lkw	positive	emobility
https://www.automobil-industrie.vogel.de/das-erste-elektroauto-mit-drohnen-technik-a-dee0954981e1f89f06d19f7fcbbe2f98/	2022-08-04	Next Mobility Das erste Elektroauto mit Drohnen-Technik	positive	emobility
https://www.automobil-industrie.vogel.de/china-wechselt-als-auto-exporteur-auf-die-ueberholspur-a-15cfa8b5ed2575fa5a82cd84321e902d/	2022-08-04	E-Mobilität China wechselt als Auto-Exporteur auf die Überholspur	positive	emobility
https://www.automobil-industrie.vogel.de/stora-enso-und-northvolt-entwickeln-holzbasiertes-anodenmaterial-a-7423bcbbe6bbd859e2eefa0492d86622/	2022-08-09	Elektromobilität Stora Enso und Northvolt entwickeln holzbasiertes Anodenmaterial	positive	emobility
https://www.automobil-industrie.vogel.de/mahle-und-siemens-wollen-induktiv-laden-a-45aaa9176da2be4e3636cd8238e50399/	2022-08-10 	Elektromobilität Mahle und Siemens wollen induktiv laden	neutral	emobility
https://www.automobil-industrie.vogel.de/gastkommentar-wie-die-politik-mobilitaet-von-morgen-gestalten-kann-a-7185ee8525861273001bfebb76a73aec/	2022-08-10 	Elektromobilität Gastkommentar: Wie die Politik Mobilität von morgen gestalten kann	negativ	emobility
https://www.automobil-industrie.vogel.de/ford-offenbart-plaene-zur-absicherung-der-geplanten-volumina-a-40a7898db7895850d5418f073e5cd76d/	2022-08-10 	E-Fahrzeugproduktion Ford offenbart Pläne zur Absicherung der geplanten Volumina	positive	emobility
https://www.automobil-industrie.vogel.de/volkswagen-und-mahindra-konkretisieren-zusammenarbeit-a-f1792ab64bc6a584616e7d7d3b6a4dd0/	2022-08-16	Elektromobilität Volkswagen und Mahindra konkretisieren Zusammenarbeit	neutral	emobility
https://www.automobil-industrie.vogel.de/e-auto-preise-steigen-schneller-als-die-von-verbrennern-a-94b3e89a11c074f2f1fc713345290a08/	2022-08-16	Studie E-Auto-Preise steigen schneller als die von Verbrennern	negativ	emobility
https://www.automobil-industrie.vogel.de/weltneuheiten-fuer-die-e-mobilitaet-a-1b1712f9951799cf2a82c6881a2bdfe0/	2022-08-16	Zulieferer Weltneuheiten für die E-Mobilität	positive	emobility
https://www.automobil-industrie.vogel.de/ree-zeigt-skateboard-plattform-mit-viel-laderaum-a-344feab27c6a123e72a1ef7ca1b10387/	2022-08-16 	E-Transporter Ree zeigt Skateboard-Plattform mit viel Laderaum	positive	emobility
https://www.automobil-industrie.vogel.de/bp-investiert-in-ein-testzentrum-fuer-e-auto-batterien-a-d7f4687ea154829ede6322bcc574f1fc/	2022-08-16 	E-Mobilität BP investiert in ein Testzentrum für E-Auto-Batterien	neutral	emobility
https://www.automobil-industrie.vogel.de/avatr-11-das-e-auto-von-changan-huawei-und-catl-sorgt-fuer-aufsehen-a-0341336c83535e3c6e2d12887d7de4db/	2022-08-16 	E-Mobilität Avatr 11: Das E-Auto von Changan, Huawei und CATL sorgt für Aufsehen	positive	emobility
https://www.automobil-industrie.vogel.de/ford-testet-scheinwerfer-projektionen-auf-der-strasse-a-d6062a420451ad29ba48f8de199e75dc/	2022-08-16 	Elektronik Ford testet Scheinwerfer-Projektionen auf der Straße	neutral	emobility
https://www.automobil-industrie.vogel.de/das-sind-die-zehn-meistverkauften-elektroautos-in-europa-a-6ca399dadbd090236b29d048d13e5f8b/	2022-08-17 	1. Halbjahr 2022 Das sind die zehn meistverkauften Elektroautos in Europa	positive	emobility
https://www.automobil-industrie.vogel.de/charger-daytona-srt-concept-elektro-muscle-car-mit-v8-sound-a-a4d2f00728060ed5c743e6c5f79bc0e0/	2022-08-18 	Konzeptfahrzeug Charger Daytona SRT Concept: Elektro-Muscle Car mit V8-Sound	positive	emobility
https://www.automobil-industrie.vogel.de/von-wegen-veraltet-in-china-werden-e-autos-mit-verbrennungsmotor-immer-beliebter-a-e1e5aa07a94474caaed562e11b4cc93d/	2022-08-19	E-Mobilität Von wegen veraltet: In China werden E-Autos mit Verbrennungsmotor immer beliebter	positive	emobility
https://www.automobil-industrie.vogel.de/audi-charging-hub-feiert-weltpremiere-in-nuernberg-a-8f3529e0c1ca693cac06fb529b91921f/	2022-08-22 	Elektromobilität Audi Charging Hub feiert Weltpremiere in Nürnberg	positive	emobility
https://www.automobil-industrie.vogel.de/bentley-mulliner-batur-designausblick-auf-rein-elektrische-modelle-a-829a38c761964e1cc1697b586c888ce7/	2022-08-22 	Luxusauto Bentley Mulliner Batur: Designausblick auf rein elektrische Modelle	positive	emobility
https://www.automobil-industrie.vogel.de/mit-diesen-drei-elektro-autos-startet-byd-in-deutschland-a-9c5d1e647886a4f21cf4bb31e8356399/	2022-08-23 	Chinesischer Autobauer Mit diesen drei Elektro-Autos startet BYD in Deutschland	neutral	emobility
https://www.automobil-industrie.vogel.de/gigantische-plaene-wie-catl-seine-dominanz-globalisiert-a-e5a7bc8bb55b616b0cd2989e4bf2af53/	2022-08-23 	E-Mobilität Gigantische Pläne – Wie CATL seine Dominanz globalisiert	positive	emobility
https://www.automobil-industrie.vogel.de/polestar-liefert-batterien-an-e-boot-hersteller-candela-a-318fde16db0aa1ade9ae10aa3afc9a11/	2022-08-23 	E-Mobilität Polestar liefert Batterien an E-Boot-Hersteller Candela	neutral	emobility
https://www.automobil-industrie.vogel.de/mexiko-gruendet-staatlichen-lithium-konzern-a-d5514497d5c42f361480565139e3f641/	2022-08-24	E-Mobilität Mexiko gründet staatlichen Lithium-Konzern	positive	emobility
https://www.automobil-industrie.vogel.de/lincoln-l100-zeigt-elektro-zukunft-von-fords-nobelmarke-a-5c1e6d04f610e79f16f4e5f6dba8e71c/	2022-08-24 	E-Mobilität Lincoln L100 zeigt Elektro-Zukunft von Fords Nobelmarke	positive	emobility
https://www.automobil-industrie.vogel.de/vw-und-mercedes-benz-forcieren-zusammenarbeit-mit-kanada-a-7dbeb3ff3189c60fba907d6f088ea774/	2022-08-24 	Transformation E VW und Mercedes-Benz forcieren Zusammenarbeit mit Kanada	neutral	emobility
https://www.automobil-industrie.vogel.de/neuer-sic-lieferant-fuer-infineon-a-9bfb377cfdcecc91353cc8a4ecd21295/	2022-08-25	Elektronik Neuer SiC-Lieferant für Infineon	neutral	emobility
https://www.automobil-industrie.vogel.de/man-baut-batteriewerk-fuer-e-lkw-und-e-busse-in-nuernberg-a-450b8c737add510700e5d182ea401a57/	2022-08-25	Elektromobilität MAN baut Batteriewerk für E-Lkw und E-Busse in Nürnberg	neutral	emobility
https://www.automobil-industrie.vogel.de/smart-1-kommt-wieder-als-brabus-variante-a-4c8a923748af7494354802678c4a1c5a/	2022-08-25 	E-Mobilität Smart #1 kommt wieder als Brabus-Variante	positive	emobility
https://www.automobil-industrie.vogel.de/die-sechs-groessten-chinesischen-nutzfahrzeug-hersteller-wo-stehen-sie-bei-der-elektrifizierung-a-f52c1de01679c0b0add9438f7e9fd7f9/	2022-08-25	Elektromobilität Die sechs größten chinesischen Nutzfahrzeug-Hersteller: Wo stehen sie bei der Elektrifizierung?	neutral	emobility
https://www.automobil-industrie.vogel.de/renault-scenic-vision-elektro-studie-mit-wasserstoff-reserve-a-92ad453860b98a97741a491483cc17b8/	2022-08-25	E-Mobilität Renault Scenic Vision: Elektro-Studie mit Wasserstoff-Reserve	positive	emobility
https://www.automobil-industrie.vogel.de/daimler-truck-erprobt-e-lkw-mit-reichweite-von-500-kilometern-a-9b91e4837c01b3bdfaadade2498d908f/	2022-08-25	E-Mobilität Daimler Truck erprobt E-Lkw mit Reichweite von 500 Kilometern	positive	emobility
https://www.automobil-industrie.vogel.de/lucid-legt-bei-der-leistung-noch-eine-schippe-drauf-a-b791d0100783cd788d6528c76b62f643/	2022-08-29 	Elektrosportwagen Lucid legt bei der Leistung noch eine Schippe drauf	positive	emobility
https://www.automobil-industrie.vogel.de/bertrandt-baut-validierungsfahrzeuge-fuer-sono-motors-a-0c5dc66803e5d0e61d027cf4e94394e1/	2022-08-30	Elektromobilität Bertrandt baut Validierungsfahrzeuge für Sono Motors	neutral	emobility
https://www.automobil-industrie.vogel.de/schaeffler-baut-werk-in-buehl-aus-a-24d233a1becc18dfbe4bfd873a7cedad/	2022-08-30	E-Mobilität Schaeffler baut Werk in Bühl aus	neutral	emobility
